법정동코드,법정동명,폐지여부
2711000000,대구광역시 중구,존재
2711010100,대구광역시 중구 동인동1가,존재
2711010200,대구광역시 중구 동인동2가,존재
2711010300,대구광역시 중구 동인동3가,존재
2711010400,대구광역시 중구 동인동4가,존재
2711010500,대구광역시 중구 삼덕동1가,존재
2711010600,대구광역시 중구 삼덕동2가,존재
2711010700,대구광역시 중구 삼덕동3가,존재
2711010800,대구광역시 중구 봉산동,존재
2711010900,대구광역시 중구 장관동,존재
2711011000,대구광역시 중구 상서동,존재
2711011100,대구광역시 중구 수동,존재
2711011200,대구광역시 중구 덕산동,존재
2711011300,대구광역시 중구 종로1가,존재
2711011400,대구광역시 중구 종로2가,존재
2711011500,대구광역시 중구 사일동,존재
2711011600,대구광역시 중구 동일동,존재
2711011700,대구광역시 중구 남일동,존재
2711011800,대구광역시 중구 전동,존재
2711011900,대구광역시 중구 동성로3가,존재
2711012000,대구광역시 중구 동문동,존재
2711012100,대구광역시 중구 문화동,존재
2711012200,대구광역시 중구 공평동,존재
2711012300,대구광역시 중구 동성로2가,존재
2711012400,대구광역시 중구 태평로1가,존재
2711012500,대구광역시 중구 교동,존재
2711012600,대구광역시 중구 용덕동,존재
2711012700,대구광역시 중구 상덕동,존재
2711012800,대구광역시 중구 완전동,존재
2711012900,대구광역시 중구 도원동,존재
2711013000,대구광역시 중구 수창동,존재
2711013100,대구광역시 중구 태평로3가,존재
2711013200,대구광역시 중구 인교동,존재
2711013300,대구광역시 중구 서야동,존재
2711013400,대구광역시 중구 서성로1가,존재
2711013500,대구광역시 중구 시장북로,존재
2711013600,대구광역시 중구 하서동,존재
2711013700,대구광역시 중구 남성로,존재
2711013800,대구광역시 중구 계산동1가,존재
2711013900,대구광역시 중구 계산동2가,존재
2711014000,대구광역시 중구 동산동,존재
2711014100,대구광역시 중구 서문로2가,존재
2711014200,대구광역시 중구 서성로2가,존재
2711014300,대구광역시 중구 포정동,존재
2711014400,대구광역시 중구 서문로1가,존재
2711014500,대구광역시 중구 서내동,존재
2711014600,대구광역시 중구 북성로2가,존재
2711014700,대구광역시 중구 대안동,존재
2711014800,대구광역시 중구 동성로1가,존재
2711014900,대구광역시 중구 태평로2가,존재
2711015000,대구광역시 중구 북성로1가,존재
2711015100,대구광역시 중구 화전동,존재
2711015200,대구광역시 중구 향촌동,존재
2711015300,대구광역시 중구 북내동,존재
2711015400,대구광역시 중구 대신동,존재
2711015500,대구광역시 중구 달성동,존재
2711015600,대구광역시 중구 남산동,존재
2711015700,대구광역시 중구 대봉동,존재
2714000000,대구광역시 동구,존재
2714010100,대구광역시 동구 신암동,존재
2714010200,대구광역시 동구 신천동,존재
2714010300,대구광역시 동구 효목동,존재
2714010400,대구광역시 동구 평광동,존재
2714010500,대구광역시 동구 봉무동,존재
2714010600,대구광역시 동구 불로동,존재
2714010700,대구광역시 동구 도동,존재
2714010800,대구광역시 동구 지저동,존재
2714010900,대구광역시 동구 입석동,존재
2714011000,대구광역시 동구 검사동,존재
2714011100,대구광역시 동구 방촌동,존재
2714011200,대구광역시 동구 둔산동,존재
2714011300,대구광역시 동구 부동,존재
2714011400,대구광역시 동구 신평동,존재
2714011500,대구광역시 동구 서호동,존재
2714011600,대구광역시 동구 동호동,존재
2714011700,대구광역시 동구 신기동,존재
2714011800,대구광역시 동구 율하동,존재
2714011900,대구광역시 동구 용계동,존재
2714012000,대구광역시 동구 율암동,존재
2714012100,대구광역시 동구 상매동,존재
2714012200,대구광역시 동구 매여동,존재
2714012300,대구광역시 동구 각산동,존재
2714012400,대구광역시 동구 신서동,존재
2714012500,대구광역시 동구 동내동,존재
2714012600,대구광역시 동구 괴전동,존재
2714012700,대구광역시 동구 금강동,존재
2714012800,대구광역시 동구 대림동,존재
2714012900,대구광역시 동구 사복동,존재
2714013000,대구광역시 동구 숙천동,존재
2714013100,대구광역시 동구 내곡동,존재
2714013200,대구광역시 동구 능성동,존재
2714013300,대구광역시 동구 진인동,존재
